Y,N,K,L,year
2487508.0,155.58397296844,10577081.0,62.8143653869629,1950
2688159.75,158.247703858109,10911349.0,65.092643737793,1951
2795585.75,160.980891655843,11271676.0,65.8843536376953,1952
2928556.0,163.669146836508,11680725.0,66.8207168579102,1953
2910510.25,166.572975679979,12071339.0,65.5983276367188,1954
3119068.25,169.541178838466,12509872.0,67.4969482421875,1955
3184018.5,172.577841095339,12944298.0,69.1296768188477,1956
3252465.0,175.725868266759,13368356.0,69.46849060058591,1957
3228752.25,178.686930849737,13752067.0,68.2173690795898,1958
3452001.75,181.699068815614,14237032.0,69.7832107543945,1959
3540698.75,184.601884258631,14712712.0,70.9569396972656,1960
3630272.5,187.687579506719,15205823.0,71.0067138671875,1961
3852552.25,190.596522124791,15760120.0,72.06323242187501,1962
4019658.5,193.359363578897,16361778.0,73.0742645263672,1963
4252923.5,196.063957893041,17023988.0,74.73961639404301,1964
4528655.0,198.530465463516,17752794.0,76.51341247558591,1965
4827971.5,200.83657512823,18531220.0,78.84690856933591,1966
4959432.0,203.035404661769,19263748.0,80.6633682250977,1967
5203597.5,205.072776116763,20015390.0,82.2697143554688,1968
5366857.0,207.086667862769,20760388.0,84.23368835449219,1969
5378396.5,209.513341,21404806.0,84.696891784668,1970
5554756.0,211.384068,22058984.0,84.7013778686523,1971
5847313.0,213.269802,22805538.0,86.9728240966797,1972
6179186.0,215.178797,23631974.0,89.76095581054689,1973
6145901.0,217.114909,24335790.0,91.4325790405273,1974
6134044.5,219.081251,24870738.0,90.27314758300781,1975
6464279.5,221.086429,25505044.0,93.08827209472659,1976
6764340.0,223.135663,26280000.0,96.2619094848633,1977
7138520.5,225.223303,27203344.0,100.194435119629,1978
7364004.5,227.339318,28174376.0,102.810615539551,1979
7341787.0,229.476354,28983498.0,103.070930480957,1980
7524190.0,231.636058,29770524.0,104.216178894043,1981
7380424.5,233.821844,30401034.0,103.408576965332,1982
7713319.0,236.030238,31125620.0,104.779136657715,1983
8265618.5,238.256844,32101106.0,109.11604309082,1984
8608782.0,240.499825,33160292.0,111.384384155273,1985
8902163.0,242.763148,34217088.0,113.924011230469,1986
9207579.0,245.052789,35245824.0,116.886093139648,1987
9586360.0,247.372264,36263604.0,119.454811096191,1988
9932078.0,249.725805,37283372.0,121.828071594238,1989
10110408.0,252.120309,38223704.0,123.046020507813,1990
10093921.0,254.53937,38986904.0,121.56706237793,1991
10444359.0,256.990613,39793276.0,121.797004699707,1992
10730839.0,259.532129,40663016.0,123.120697021484,1993
11162312.0,262.241196,41620612.0,125.689979553223,1994
11461592.0,265.163745,42632476.0,127.462738037109,1995
11893809.0,268.335003,43758164.0,129.357666015625,1996
12424660.0,271.713635,44976940.0,132.362579345703,1997
12980315.0,275.175301,46344884.0,134.500900268555,1998
13596571.0,278.54815,47827504.0,136.756469726563,1999
14156661.0,281.710909,49367780.0,138.636108398438,2000
14295339.0,284.607993,50734368.0,138.64680480957,2001
14540255.0,287.279318,51925404.0,138.152084350586,2002
14954228.0,289.815562,53183824.0,138.690856933594,2003
15523249.0,292.354658,54572780.0,140.27018737793,2004
16070041.0,294.993511,56084544.0,142.493301391602,2005
16525906.0,297.758969,57575360.0,145.094146728516,2006
16835740.0,300.608429,58915348.0,146.395782470703,2007
16808304.0,303.486012,59981816.0,146.228500366211,2008
16380414.0,306.307567,60510720.0,141.220809936523,2009
16800636.0,309.011475,61054648.0,140.713806152344,2010
17060996.0,311.584047,61672612.0,142.147354125977,2011
17444592.0,314.043885,62435580.0,144.588485717773,2012
17765868.0,316.400538,63232880.0,145.978454589844,2013
18214814.0,318.673411,64124200.0,148.220642089844,2014
18775850.0,320.87831,65057788.0,150.248474121094,2015
19096542.0,323.015995,65974044.0,152.396957397461,2016
19542980.0,325.084756,66942704.0,154.672317504883,2017
20128448.0,327.096265,68007384.0,156.675903320313,2018
20566034.0,329.064917,69059088.0,158.299591064453,2019
